stopping sim at  229 + 12 / 241
::  Return for Rs 10000 / 12 months starting from 2006_06 is 45.69
::  Return for Rs 10000 / 12 months starting from 2003_03 is 47.61
::  Return for Rs 10000 / 12 months starting from 2016_11 is 47.62
::  Return for Rs 10000 / 12 months starting from 2002_10 is 48.1
::  Return for Rs 10000 / 12 months starting from 2005_12 is 48.34
::  Return for Rs 10000 / 12 months starting from 2003_05 is 48.54
::  Return for Rs 10000 / 12 months starting from 2002_12 is 49.15
::  Return for Rs 10000 / 12 months starting from 2002_11 is 55.55
::  Return for Rs 10000 / 12 months starting from 2005_08 is 58.68
::  Return for Rs 10000 / 12 months starting from 2005_11 is 58.82
::  Return for Rs 10000 / 12 months starting from 2006_10 is 60.44
::  Return for Rs 10000 / 12 months starting from 2003_02 is 62.2
::  Return for Rs 10000 / 12 months starting from 2005_10 is 63.87
::  Return for Rs 10000 / 12 months starting from 2005_03 is 64.9
::  Return for Rs 10000 / 12 months starting from 2007_01 is 68.2
::  Return for Rs 10000 / 12 months starting from 2005_09 is 68.78
::  Return for Rs 10000 / 12 months starting from 2003_01 is 70.9
::  Return for Rs 10000 / 12 months starting from 2005_02 is 75.23
::  Return for Rs 10000 / 12 months starting from 2006_12 is 76.09
::  Return for Rs 10000 / 12 months starting from 2005_04 is 76.44
::  Return for Rs 10000 / 12 months starting from 2005_06 is 80.92
::  Return for Rs 10000 / 12 months starting from 2006_11 is 82.45
::  Return for Rs 10000 / 12 months starting from 2005_07 is 83.04
::  Return for Rs 10000 / 12 months starting from 2005_05 is 107.05
